rank,lag,autocorrelation,abs_autocorrelation
1,70013,-0.0013849000,0.0013849000
2,66314,-0.0013266000,0.0013266000
3,19123,-0.0012849000,0.0012849000
4,88922,-0.0012834000,0.0012834000
5,54754,0.0012786000,0.0012786000
6,72458,0.0012682000,0.0012682000
7,73349,0.0012539000,0.0012539000
8,39384,-0.0012516000,0.0012516000
9,39815,-0.0012503000,0.0012503000
10,18250,-0.0012358000,0.0012358000
11,7952,-0.0012262000,0.0012262000
12,50902,-0.0012256000,0.0012256000
13,9024,-0.0012220000,0.0012220000
14,53464,0.0012188000,0.0012188000
15,81323,-0.0012109000,0.0012109000
16,51397,-0.0012089000,0.0012089000
17,24844,-0.0012030000,0.0012030000
18,68241,-0.0012003000,0.0012003000
19,3161,-0.0011967000,0.0011967000
20,34139,-0.0011963000,0.0011963000
