pattern_value,pattern_bits,count,expected,ratio
0,0000000,8207103,78124.95,105.050981
1,1000000,14181,78124.95,0.181517
2,0100000,14174,78124.95,0.181427
3,1100000,14027,78124.95,0.179546
4,0010000,14311,78124.95,0.183181
5,1010000,13986,78124.95,0.179021
6,0110000,14045,78124.95,0.179776
7,1110000,14020,78124.95,0.179456
8,0001000,14129,78124.95,0.180851
9,1001000,14223,78124.95,0.182055
10,0101000,14111,78124.95,0.180621
11,1101000,14066,78124.95,0.180045
12,0011000,13936,78124.95,0.178381
13,1011000,14171,78124.95,0.181389
14,0111000,13876,78124.95,0.177613
15,1111000,14261,78124.95,0.182541
16,0000100,13902,78124.95,0.177946
17,1000100,14087,78124.95,0.180314
18,0100100,13814,78124.95,0.176819
19,1100100,14100,78124.95,0.180480
20,0010100,13958,78124.95,0.178663
21,1010100,14292,78124.95,0.182938
22,0110100,14189,78124.95,0.181619
23,1110100,14330,78124.95,0.183424
24,0001100,14024,78124.95,0.179507
25,1001100,14107,78124.95,0.180570
26,0101100,13984,78124.95,0.178995
27,1101100,14196,78124.95,0.181709
28,0011100,13928,78124.95,0.178279
29,1011100,13906,78124.95,0.177997
30,0111100,14306,78124.95,0.183117
31,1111100,14064,78124.95,0.180019
32,0000010,14138,78124.95,0.180967
33,1000010,14015,78124.95,0.179392
34,0100010,14107,78124.95,0.180570
35,1100010,14089,78124.95,0.180339
36,0010010,13601,78124.95,0.174093
37,1010010,14241,78124.95,0.182285
38,0110010,13964,78124.95,0.178739
39,1110010,14081,78124.95,0.180237
40,0001010,14105,78124.95,0.180544
41,1001010,14090,78124.95,0.180352
42,0101010,14328,78124.95,0.183399
43,1101010,14225,78124.95,0.182080
44,0011010,14259,78124.95,0.182515
45,1011010,14147,78124.95,0.181082
46,0111010,14354,78124.95,0.183731
47,1111010,14112,78124.95,0.180634
48,0000110,14232,78124.95,0.182170
49,1000110,14070,78124.95,0.180096
50,0100110,14203,78124.95,0.181799
51,1100110,14191,78124.95,0.181645
52,0010110,14146,78124.95,0.181069
53,1010110,14062,78124.95,0.179994
54,0110110,14179,78124.95,0.181491
55,1110110,14092,78124.95,0.180378
56,0001110,14020,78124.95,0.179456
57,1001110,14072,78124.95,0.180122
58,0101110,14043,78124.95,0.179751
59,1101110,14263,78124.95,0.182567
60,0011110,14078,78124.95,0.180199
61,1011110,14223,78124.95,0.182055
62,0111110,14024,78124.95,0.179507
63,1111110,14213,78124.95,0.181927
64,0000001,14180,78124.95,0.181504
65,1000001,14020,78124.95,0.179456
66,0100001,14123,78124.95,0.180775
67,1100001,14038,78124.95,0.179687
68,0010001,14041,78124.95,0.179725
69,1010001,14191,78124.95,0.181645
70,0110001,14062,78124.95,0.179994
71,1110001,14117,78124.95,0.180698
72,0001001,13860,78124.95,0.177408
73,1001001,13691,78124.95,0.175245
74,0101001,14139,78124.95,0.180979
75,1101001,14453,78124.95,0.184999
76,0011001,14195,78124.95,0.181696
77,1011001,14009,78124.95,0.179315
78,0111001,13958,78124.95,0.178663
79,1111001,14109,78124.95,0.180595
80,0000101,14251,78124.95,0.182413
81,1000101,14109,78124.95,0.180595
82,0100101,14028,78124.95,0.179559
83,1100101,13945,78124.95,0.178496
84,0010101,14237,78124.95,0.182234
85,1010101,14261,78124.95,0.182541
86,0110101,14217,78124.95,0.181978
87,1110101,14136,78124.95,0.180941
88,0001101,14278,78124.95,0.182759
89,1001101,14287,78124.95,0.182874
90,0101101,14224,78124.95,0.182067
91,1101101,14075,78124.95,0.180160
92,0011101,14164,78124.95,0.181299
93,1011101,14400,78124.95,0.184320
94,0111101,13995,78124.95,0.179136
95,1111101,14173,78124.95,0.181415
96,0000011,14062,78124.95,0.179994
97,1000011,14146,78124.95,0.181069
98,0100011,14125,78124.95,0.180800
99,1100011,14090,78124.95,0.180352
100,0010011,13950,78124.95,0.178560
101,1010011,14351,78124.95,0.183693
102,0110011,14240,78124.95,0.182272
103,1110011,13986,78124.95,0.179021
104,0001011,14255,78124.95,0.182464
105,1001011,13883,78124.95,0.177703
106,0101011,14170,78124.95,0.181376
107,1101011,14128,78124.95,0.180839
108,0011011,14306,78124.95,0.183117
109,1011011,14152,78124.95,0.181146
110,0111011,14210,78124.95,0.181888
111,1111011,14056,78124.95,0.179917
112,0000111,13976,78124.95,0.178893
113,1000111,14145,78124.95,0.181056
114,0100111,14098,78124.95,0.180455
115,1100111,14035,78124.95,0.179648
116,0010111,13992,78124.95,0.179098
117,1010111,14236,78124.95,0.182221
118,0110111,14279,78124.95,0.182771
119,1110111,14174,78124.95,0.181427
120,0001111,14101,78124.95,0.180493
121,1001111,14061,78124.95,0.179981
122,0101111,14185,78124.95,0.181568
123,1101111,14191,78124.95,0.181645
124,0011111,14084,78124.95,0.180275
125,1011111,14153,78124.95,0.181159
126,0111111,14213,78124.95,0.181927
127,1111111,14221,78124.95,0.182029
