order_k,accuracy,accuracy_pct,avg_log_likelihood_bits,z_score,n_test_samples,significant_at_3sigma
1,1.00000000,100.0000,-0.168690,2236.0678,4999999,YES
2,1.00000000,100.0000,-0.092032,2236.0675,4999998,YES
3,1.00000000,100.0000,-0.048394,2236.0673,4999997,YES
4,1.00000000,100.0000,-0.024808,2236.0671,4999996,YES
5,1.00000000,100.0000,-0.012575,2236.0669,4999995,YES
6,1.00000000,100.0000,-0.006365,2236.0666,4999994,YES
7,1.00000000,100.0000,-0.003178,2236.0664,4999993,YES
8,1.00000000,100.0000,-0.001592,2236.0662,4999992,YES
9,1.00000000,100.0000,-0.000800,2236.0660,4999991,YES
10,1.00000000,100.0000,-0.000378,2236.0657,4999990,YES
11,1.00000000,100.0000,-0.000189,2236.0655,4999989,YES
12,1.00000000,100.0000,-0.000108,2236.0653,4999988,YES
13,1.00000000,100.0000,-0.000058,2236.0651,4999987,YES
14,1.00000000,100.0000,-0.000028,2236.0648,4999986,YES
15,1.00000000,100.0000,-0.000013,2236.0646,4999985,YES
16,1.00000000,100.0000,-0.000007,2236.0644,4999984,YES
17,1.00000000,100.0000,-0.000003,2236.0642,4999983,YES
18,1.00000000,100.0000,-0.000003,2236.0640,4999982,YES
19,1.00000000,100.0000,-0.000001,2236.0637,4999981,YES
20,1.00000000,100.0000,0.000000,2236.0635,4999980,YES
